時	TAU-KI
頃	KAU-STAU
事	KAU-TAU
物	SKNAU-NAU
家	I-IA
声	KAU-IA
花	TKA-NA
草	KU-SA
雨	A-SKNIA
雪	YU-KI
海	U-SKNI
山	YA-SKNA
川	KA-SKA
風	KA-SNIA
雲	KU-SKNAU
空	SAU-STA
月	TU-KI
朝	A-SA
昼	TKI-STU
夜	YAU-STU
昨日	KI-NIAU
笑い	SKA-STY
緩い	YU-STIU
田んぼ	TAn-TKNAU
一つ	TKI-TAUt
二つ	TKU-TAt
三つ	SKNItk-TU
やる気	YA-STUnk
勝ち確	KAnt-KAk
たちまち	TAnt-SKNAnt
